Table Name,Column Name,Data Type,Constraint Name,Constraint Type,processed_schema
purchasing.purchaseorderdetail,"['receivedqty', 'unitprice', 'purchaseorderid', 'orderqty', 'purchaseorderid', 'purchaseorderdetailid', 'productid', 'rejectedqty']","['numeric(8,2)', 'numeric', 'integer', 'smallint', 'integer', 'integer', 'integer', 'numeric(8,2)']","[('CK_PurchaseOrderDetail_ReceivedQty', 'u'), ('CK_PurchaseOrderDetail_UnitPrice', 'u'), ('PK_PurchaseOrderDetail_PurchaseOrderID_PurchaseOrderDetailID', 'u'), ('CK_PurchaseOrderDetail_OrderQty', 'p'), ('FK_PurchaseOrderDetail_PurchaseOrderHeader_PurchaseOrderID', 'p'), ('PK_PurchaseOrderDetail_PurchaseOrderID_PurchaseOrderDetailID', 'u'), ('FK_PurchaseOrderDetail_Product_ProductID', 'u'), ('CK_PurchaseOrderDetail_RejectedQty', 'p')]","['c', 'c', 'p', 'c', 'f', 'p', 'f', 'c']","purchasing.purchaseorderdetail receivedqty unitprice purchaseorderid orderqty purchaseorderid purchaseorderdetailid productid rejectedqty numeric(8,2) numeric integer smallint integer integer integer numeric(8,2) CK_PurchaseOrderDetail_ReceivedQty_u CK_PurchaseOrderDetail_UnitPrice_u PK_PurchaseOrderDetail_PurchaseOrderID_PurchaseOrderDetailID_u CK_PurchaseOrderDetail_OrderQty_p FK_PurchaseOrderDetail_PurchaseOrderHeader_PurchaseOrderID_p PK_PurchaseOrderDetail_PurchaseOrderID_PurchaseOrderDetailID_u FK_PurchaseOrderDetail_Product_ProductID_u CK_PurchaseOrderDetail_RejectedQty_p 0 1 2 3 4 5 6 7 u u u p p u u p"
purchasing.purchaseorderheader,"['purchaseorderid', 'shipmethodid', 'vendorid', 'employeeid', 'status', 'orderdate', 'shipdate', 'subtotal', 'taxamt', 'freight']","['integer', 'integer', 'integer', 'integer', 'smallint', 'timestamp without time zone', 'timestamp without time zone', 'numeric', 'numeric', 'numeric']","[('PK_PurchaseOrderHeader_PurchaseOrderID', 'u'), ('FK_PurchaseOrderHeader_ShipMethod_ShipMethodID', 'u'), ('FK_PurchaseOrderHeader_Vendor_VendorID', 'u'), ('FK_PurchaseOrderHeader_Employee_EmployeeID', 'p'), ('CK_PurchaseOrderHeader_Status', 'p'), ('CK_PurchaseOrderHeader_ShipDate', 'u'), ('CK_PurchaseOrderHeader_ShipDate', 'u'), ('CK_PurchaseOrderHeader_SubTotal', 'p'), ('CK_PurchaseOrderHeader_TaxAmt', 'u'), ('CK_PurchaseOrderHeader_Freight', 'p')]","['p', 'f', 'f', 'f', 'c', 'c', 'c', 'c', 'c', 'c']",purchasing.purchaseorderheader purchaseorderid shipmethodid vendorid employeeid status orderdate shipdate subtotal taxamt freight integer integer integer integer smallint timestamp without time zone timestamp without time zone numeric numeric numeric PK_PurchaseOrderHeader_PurchaseOrderID_u FK_PurchaseOrderHeader_ShipMethod_ShipMethodID_u FK_PurchaseOrderHeader_Vendor_VendorID_u FK_PurchaseOrderHeader_Employee_EmployeeID_p CK_PurchaseOrderHeader_Status_p CK_PurchaseOrderHeader_ShipDate_u CK_PurchaseOrderHeader_ShipDate_u CK_PurchaseOrderHeader_SubTotal_p CK_PurchaseOrderHeader_TaxAmt_u CK_PurchaseOrderHeader_Freight_p 0 1 2 3 4 5 6 7 8 9 u u u p p u u p u p
purchasing.shipmethod,"['shipbase', 'shipmethodid', 'shiprate']","['numeric', 'integer', 'numeric']","[('CK_ShipMethod_ShipBase', 'u'), ('PK_ShipMethod_ShipMethodID', 'u'), ('CK_ShipMethod_ShipRate', 'u')]","['c', 'p', 'c']",purchasing.shipmethod shipbase shipmethodid shiprate numeric integer numeric CK_ShipMethod_ShipBase_u PK_ShipMethod_ShipMethodID_u CK_ShipMethod_ShipRate_u 0 1 2 u u u
purchasing.vendor,"['businessentityid', 'creditrating', 'businessentityid']","['integer', 'smallint', 'integer']","[('PK_Vendor_BusinessEntityID', 'u'), ('CK_Vendor_CreditRating', 'u'), ('FK_Vendor_BusinessEntity_BusinessEntityID', 'u')]","['p', 'c', 'f']",purchasing.vendor businessentityid creditrating businessentityid integer smallint integer PK_Vendor_BusinessEntityID_u CK_Vendor_CreditRating_u FK_Vendor_BusinessEntity_BusinessEntityID_u 0 1 2 u u u
sales.countryregioncurrency,"['countryregioncode', 'currencycode', 'countryregioncode', 'currencycode']","['character varying(3)', 'character(3)', 'character varying(3)', 'character(3)']","[('FK_CountryRegionCurrency_CountryRegion_CountryRegionCode', 'u'), ('FK_CountryRegionCurrency_Currency_CurrencyCode', 'u'), ('PK_CountryRegionCurrency_CountryRegionCode_CurrencyCode', 'u'), ('PK_CountryRegionCurrency_CountryRegionCode_CurrencyCode', 'p')]","['f', 'f', 'p', 'p']",sales.countryregioncurrency countryregioncode currencycode countryregioncode currencycode character varying(3) character(3) character varying(3) character(3) FK_CountryRegionCurrency_CountryRegion_CountryRegionCode_u FK_CountryRegionCurrency_Currency_CurrencyCode_u PK_CountryRegionCurrency_CountryRegionCode_CurrencyCode_u PK_CountryRegionCurrency_CountryRegionCode_CurrencyCode_p 0 1 2 3 u u u p
sales.creditcard,['creditcardid'],['integer'],"[('PK_CreditCard_CreditCardID', 'u')]",['p'],sales.creditcard creditcardid integer PK_CreditCard_CreditCardID_u 0 u
sales.currency,['currencycode'],['character(3)'],"[('PK_Currency_CurrencyCode', 'u')]",['p'],sales.currency currencycode character(3) PK_Currency_CurrencyCode_u 0 u
sales.currencyrate,"['tocurrencycode', 'fromcurrencycode', 'currencyrateid']","['character(3)', 'character(3)', 'integer']","[('FK_CurrencyRate_Currency_ToCurrencyCode', 'u'), ('FK_CurrencyRate_Currency_FromCurrencyCode', 'u'), ('PK_CurrencyRate_CurrencyRateID', 'u')]","['f', 'f', 'p']",sales.currencyrate tocurrencycode fromcurrencycode currencyrateid character(3) character(3) integer FK_CurrencyRate_Currency_ToCurrencyCode_u FK_CurrencyRate_Currency_FromCurrencyCode_u PK_CurrencyRate_CurrencyRateID_u 0 1 2 u u u
sales.customer,"['territoryid', 'personid', 'customerid', 'storeid']","['integer', 'integer', 'integer', 'integer']","[('FK_Customer_SalesTerritory_TerritoryID', 'u'), ('FK_Customer_Person_PersonID', 'u'), ('PK_Customer_CustomerID', 'u'), ('FK_Customer_Store_StoreID', 'p')]","['f', 'f', 'p', 'f']",sales.customer territoryid personid customerid storeid integer integer integer integer FK_Customer_SalesTerritory_TerritoryID_u FK_Customer_Person_PersonID_u PK_Customer_CustomerID_u FK_Customer_Store_StoreID_p 0 1 2 3 u u u p
sales.personcreditcard,"['businessentityid', 'businessentityid', 'creditcardid', 'creditcardid']","['integer', 'integer', 'integer', 'integer']","[('PK_PersonCreditCard_BusinessEntityID_CreditCardID', 'u'), ('FK_PersonCreditCard_Person_BusinessEntityID', 'u'), ('FK_PersonCreditCard_CreditCard_CreditCardID', 'u'), ('PK_PersonCreditCard_BusinessEntityID_CreditCardID', 'p')]","['p', 'f', 'f', 'p']",sales.personcreditcard businessentityid businessentityid creditcardid creditcardid integer integer integer integer PK_PersonCreditCard_BusinessEntityID_CreditCardID_u FK_PersonCreditCard_Person_BusinessEntityID_u FK_PersonCreditCard_CreditCard_CreditCardID_u PK_PersonCreditCard_BusinessEntityID_CreditCardID_p 0 1 2 3 u u u p
sales.salesorderdetail,"['productid', 'salesorderdetailid', 'salesorderid', 'unitpricediscount', 'unitprice', 'orderqty', 'salesorderid', 'specialofferid']","['integer', 'integer', 'integer', 'numeric', 'numeric', 'smallint', 'integer', 'integer']","[('FK_SalesOrderDetail_SpecialOfferProduct_SpecialOfferIDProductID', 'u'), ('PK_SalesOrderDetail_SalesOrderID_SalesOrderDetailID', 'u'), ('PK_SalesOrderDetail_SalesOrderID_SalesOrderDetailID', 'u'), ('CK_SalesOrderDetail_UnitPriceDiscount', 'p'), ('CK_SalesOrderDetail_UnitPrice', 'p'), ('CK_SalesOrderDetail_OrderQty', 'u'), ('FK_SalesOrderDetail_SalesOrderHeader_SalesOrderID', 'u'), ('FK_SalesOrderDetail_SpecialOfferProduct_SpecialOfferIDProductID', 'p')]","['f', 'p', 'p', 'c', 'c', 'c', 'f', 'f']",sales.salesorderdetail productid salesorderdetailid salesorderid unitpricediscount unitprice orderqty salesorderid specialofferid integer integer integer numeric numeric smallint integer integer FK_SalesOrderDetail_SpecialOfferProduct_SpecialOfferIDProductID_u PK_SalesOrderDetail_SalesOrderID_SalesOrderDetailID_u PK_SalesOrderDetail_SalesOrderID_SalesOrderDetailID_u CK_SalesOrderDetail_UnitPriceDiscount_p CK_SalesOrderDetail_UnitPrice_p CK_SalesOrderDetail_OrderQty_u FK_SalesOrderDetail_SalesOrderHeader_SalesOrderID_u FK_SalesOrderDetail_SpecialOfferProduct_SpecialOfferIDProductID_p 0 1 2 3 4 5 6 7 u u u p p u u p
sales.salesorderheader,"['currencyrateid', 'shiptoaddressid', 'billtoaddressid', 'salesorderid', 'shipmethodid', 'salespersonid', 'customerid', 'creditcardid', 'duedate', 'orderdate', 'status', 'orderdate', 'taxamt', 'freight', 'shipdate', 'subtotal', 'territoryid']","['integer', 'integer', 'integer', 'integer', 'integer', 'integer', 'integer', 'integer', 'timestamp without time zone', 'timestamp without time zone', 'smallint', 'timestamp without time zone', 'numeric', 'numeric', 'timestamp without time zone', 'numeric', 'integer']","[('FK_SalesOrderHeader_CurrencyRate_CurrencyRateID', 'u'), ('FK_SalesOrderHeader_Address_ShipToAddressID', 'u'), ('FK_SalesOrderHeader_Address_BillToAddressID', 'u'), ('PK_SalesOrderHeader_SalesOrderID', 'p'), ('FK_SalesOrderHeader_ShipMethod_ShipMethodID', 'p'), ('FK_SalesOrderHeader_SalesPerson_SalesPersonID', 'u'), ('FK_SalesOrderHeader_Customer_CustomerID', 'u'), ('FK_SalesOrderHeader_CreditCard_CreditCardID', 'p'), ('CK_SalesOrderHeader_DueDate', 'u'), ('CK_SalesOrderHeader_ShipDate', 'p'), ('CK_SalesOrderHeader_Status', 'p'), ('CK_SalesOrderHeader_DueDate', 'u'), ('CK_SalesOrderHeader_TaxAmt', 'u'), ('CK_SalesOrderHeader_Freight', 'u'), ('CK_SalesOrderHeader_ShipDate', 'u'), ('CK_SalesOrderHeader_SubTotal', 'u'), ('FK_SalesOrderHeader_SalesTerritory_TerritoryID', 'p')]","['f', 'f', 'f', 'p', 'f', 'f', 'f', 'f', 'c', 'c', 'c', 'c', 'c', 'c', 'c', 'c', 'f']",sales.salesorderheader currencyrateid shiptoaddressid billtoaddressid salesorderid shipmethodid salespersonid customerid creditcardid duedate orderdate status orderdate taxamt freight shipdate subtotal territoryid integer integer integer integer integer integer integer integer timestamp without time zone timestamp without time zone smallint timestamp without time zone numeric numeric timestamp without time zone numeric integer FK_SalesOrderHeader_CurrencyRate_CurrencyRateID_u FK_SalesOrderHeader_Address_ShipToAddressID_u FK_SalesOrderHeader_Address_BillToAddressID_u PK_SalesOrderHeader_SalesOrderID_p FK_SalesOrderHeader_ShipMethod_ShipMethodID_p FK_SalesOrderHeader_SalesPerson_SalesPersonID_u FK_SalesOrderHeader_Customer_CustomerID_u FK_SalesOrderHeader_CreditCard_CreditCardID_p CK_SalesOrderHeader_DueDate_u CK_SalesOrderHeader_ShipDate_p CK_SalesOrderHeader_Status_p CK_SalesOrderHeader_DueDate_u CK_SalesOrderHeader_TaxAmt_u CK_SalesOrderHeader_Freight_u CK_SalesOrderHeader_ShipDate_u CK_SalesOrderHeader_SubTotal_u FK_SalesOrderHeader_SalesTerritory_TerritoryID_p 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 u u u p p u u p u p p u u u u u p
sales.salesorderheadersalesreason,"['salesreasonid', 'salesorderid', 'salesreasonid', 'salesorderid']","['integer', 'integer', 'integer', 'integer']","[('PK_SalesOrderHeaderSalesReason_SalesOrderID_SalesReasonID', 'u'), ('FK_SalesOrderHeaderSalesReason_SalesOrderHeader_SalesOrderID', 'u'), ('FK_SalesOrderHeaderSalesReason_SalesReason_SalesReasonID', 'u'), ('PK_SalesOrderHeaderSalesReason_SalesOrderID_SalesReasonID', 'p')]","['p', 'f', 'f', 'p']",sales.salesorderheadersalesreason salesreasonid salesorderid salesreasonid salesorderid integer integer integer integer PK_SalesOrderHeaderSalesReason_SalesOrderID_SalesReasonID_u FK_SalesOrderHeaderSalesReason_SalesOrderHeader_SalesOrderID_u FK_SalesOrderHeaderSalesReason_SalesReason_SalesReasonID_u PK_SalesOrderHeaderSalesReason_SalesOrderID_SalesReasonID_p 0 1 2 3 u u u p
sales.salesperson,"['bonus', 'salesquota', 'commissionpct', 'salesytd', 'saleslastyear', 'businessentityid', 'territoryid', 'businessentityid']","['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'integer', 'integer', 'integer']","[('CK_SalesPerson_Bonus', 'u'), ('CK_SalesPerson_SalesQuota', 'u'), ('CK_SalesPerson_CommissionPct', 'u'), ('CK_SalesPerson_SalesYTD', 'p'), ('CK_SalesPerson_SalesLastYear', 'p'), ('FK_SalesPerson_Employee_BusinessEntityID', 'u'), ('FK_SalesPerson_SalesTerritory_TerritoryID', 'u'), ('PK_SalesPerson_BusinessEntityID', 'p')]","['c', 'c', 'c', 'c', 'c', 'f', 'f', 'p']",sales.salesperson bonus salesquota commissionpct salesytd saleslastyear businessentityid territoryid businessentityid numeric numeric numeric numeric numeric integer integer integer CK_SalesPerson_Bonus_u CK_SalesPerson_SalesQuota_u CK_SalesPerson_CommissionPct_u CK_SalesPerson_SalesYTD_p CK_SalesPerson_SalesLastYear_p FK_SalesPerson_Employee_BusinessEntityID_u FK_SalesPerson_SalesTerritory_TerritoryID_u PK_SalesPerson_BusinessEntityID_p 0 1 2 3 4 5 6 7 u u u p p u u p
sales.salespersonquotahistory,"['businessentityid', 'businessentityid', 'salesquota', 'quotadate']","['integer', 'integer', 'numeric', 'timestamp without time zone']","[('PK_SalesPersonQuotaHistory_BusinessEntityID_QuotaDate', 'u'), ('FK_SalesPersonQuotaHistory_SalesPerson_BusinessEntityID', 'u'), ('CK_SalesPersonQuotaHistory_SalesQuota', 'u'), ('PK_SalesPersonQuotaHistory_BusinessEntityID_QuotaDate', 'p')]","['p', 'f', 'c', 'p']",sales.salespersonquotahistory businessentityid businessentityid salesquota quotadate integer integer numeric timestamp without time zone PK_SalesPersonQuotaHistory_BusinessEntityID_QuotaDate_u FK_SalesPersonQuotaHistory_SalesPerson_BusinessEntityID_u CK_SalesPersonQuotaHistory_SalesQuota_u PK_SalesPersonQuotaHistory_BusinessEntityID_QuotaDate_p 0 1 2 3 u u u p
sales.salesreason,['salesreasonid'],['integer'],"[('PK_SalesReason_SalesReasonID', 'u')]",['p'],sales.salesreason salesreasonid integer PK_SalesReason_SalesReasonID_u 0 u
sales.salestaxrate,"['salestaxrateid', 'taxtype', 'stateprovinceid']","['integer', 'smallint', 'integer']","[('PK_SalesTaxRate_SalesTaxRateID', 'u'), ('CK_SalesTaxRate_TaxType', 'u'), ('FK_SalesTaxRate_StateProvince_StateProvinceID', 'u')]","['p', 'c', 'f']",sales.salestaxrate salestaxrateid taxtype stateprovinceid integer smallint integer PK_SalesTaxRate_SalesTaxRateID_u CK_SalesTaxRate_TaxType_u FK_SalesTaxRate_StateProvince_StateProvinceID_u 0 1 2 u u u
sales.salesterritory,"['costlastyear', 'saleslastyear', 'salesytd', 'countryregioncode', 'territoryid', 'costytd']","['numeric', 'numeric', 'numeric', 'character varying(3)', 'integer', 'numeric']","[('CK_SalesTerritory_CostLastYear', 'u'), ('CK_SalesTerritory_SalesLastYear', 'u'), ('CK_SalesTerritory_SalesYTD', 'u'), ('FK_SalesTerritory_CountryRegion_CountryRegionCode', 'p'), ('PK_SalesTerritory_TerritoryID', 'p'), ('CK_SalesTerritory_CostYTD', 'u')]","['c', 'c', 'c', 'f', 'p', 'c']",sales.salesterritory costlastyear saleslastyear salesytd countryregioncode territoryid costytd numeric numeric numeric character varying(3) integer numeric CK_SalesTerritory_CostLastYear_u CK_SalesTerritory_SalesLastYear_u CK_SalesTerritory_SalesYTD_u FK_SalesTerritory_CountryRegion_CountryRegionCode_p PK_SalesTerritory_TerritoryID_p CK_SalesTerritory_CostYTD_u 0 1 2 3 4 5 u u u p p u
sales.salesterritoryhistory,"['territoryid', 'startdate', 'startdate', 'enddate', 'businessentityid', 'territoryid', 'businessentityid']","['integer', 'timestamp without time zone', 'timestamp without time zone', 'timestamp without time zone', 'integer', 'integer', 'integer']","[('PK_SalesTerritoryHistory_BusinessEntityID_StartDate_TerritoryID', 'u'), ('PK_SalesTerritoryHistory_BusinessEntityID_StartDate_TerritoryID', 'u'), ('CK_SalesTerritoryHistory_EndDate', 'u'), ('CK_SalesTerritoryHistory_EndDate', 'p'), ('FK_SalesTerritoryHistory_SalesPerson_BusinessEntityID', 'p'), ('FK_SalesTerritoryHistory_SalesTerritory_TerritoryID', 'u'), ('PK_SalesTerritoryHistory_BusinessEntityID_StartDate_TerritoryID', 'u')]","['p', 'p', 'c', 'c', 'f', 'f', 'p']",sales.salesterritoryhistory territoryid startdate startdate enddate businessentityid territoryid businessentityid integer timestamp without time zone timestamp without time zone timestamp without time zone integer integer integer PK_SalesTerritoryHistory_BusinessEntityID_StartDate_TerritoryID_u PK_SalesTerritoryHistory_BusinessEntityID_StartDate_TerritoryID_u CK_SalesTerritoryHistory_EndDate_u CK_SalesTerritoryHistory_EndDate_p FK_SalesTerritoryHistory_SalesPerson_BusinessEntityID_p FK_SalesTerritoryHistory_SalesTerritory_TerritoryID_u PK_SalesTerritoryHistory_BusinessEntityID_StartDate_TerritoryID_u 0 1 2 3 4 5 6 u u u p p u u
sales.shoppingcartitem,"['productid', 'shoppingcartitemid', 'quantity']","['integer', 'integer', 'integer']","[('FK_ShoppingCartItem_Product_ProductID', 'u'), ('PK_ShoppingCartItem_ShoppingCartItemID', 'u'), ('CK_ShoppingCartItem_Quantity', 'u')]","['f', 'p', 'c']",sales.shoppingcartitem productid shoppingcartitemid quantity integer integer integer FK_ShoppingCartItem_Product_ProductID_u PK_ShoppingCartItem_ShoppingCartItemID_u CK_ShoppingCartItem_Quantity_u 0 1 2 u u u
sales.specialoffer,"['minqty', 'enddate', 'startdate', 'discountpct', 'maxqty', 'specialofferid']","['integer', 'timestamp without time zone', 'timestamp without time zone', 'numeric', 'integer', 'integer']","[('CK_SpecialOffer_MinQty', 'u'), ('CK_SpecialOffer_EndDate', 'u'), ('CK_SpecialOffer_EndDate', 'u'), ('CK_SpecialOffer_DiscountPct', 'p'), ('CK_SpecialOffer_MaxQty', 'p'), ('PK_SpecialOffer_SpecialOfferID', 'u')]","['c', 'c', 'c', 'c', 'c', 'p']",sales.specialoffer minqty enddate startdate discountpct maxqty specialofferid integer timestamp without time zone timestamp without time zone numeric integer integer CK_SpecialOffer_MinQty_u CK_SpecialOffer_EndDate_u CK_SpecialOffer_EndDate_u CK_SpecialOffer_DiscountPct_p CK_SpecialOffer_MaxQty_p PK_SpecialOffer_SpecialOfferID_u 0 1 2 3 4 5 u u u p p u
sales.specialofferproduct,"['specialofferid', 'specialofferid', 'productid', 'productid']","['integer', 'integer', 'integer', 'integer']","[('FK_SpecialOfferProduct_SpecialOffer_SpecialOfferID', 'u'), ('PK_SpecialOfferProduct_SpecialOfferID_ProductID', 'u'), ('PK_SpecialOfferProduct_SpecialOfferID_ProductID', 'u'), ('FK_SpecialOfferProduct_Product_ProductID', 'p')]","['f', 'p', 'p', 'f']",sales.specialofferproduct specialofferid specialofferid productid productid integer integer integer integer FK_SpecialOfferProduct_SpecialOffer_SpecialOfferID_u PK_SpecialOfferProduct_SpecialOfferID_ProductID_u PK_SpecialOfferProduct_SpecialOfferID_ProductID_u FK_SpecialOfferProduct_Product_ProductID_p 0 1 2 3 u u u p
sales.store,"['businessentityid', 'businessentityid', 'salespersonid']","['integer', 'integer', 'integer']","[('PK_Store_BusinessEntityID', 'u'), ('FK_Store_BusinessEntity_BusinessEntityID', 'u'), ('FK_Store_SalesPerson_SalesPersonID', 'u')]","['p', 'f', 'f']",sales.store businessentityid businessentityid salespersonid integer integer integer PK_Store_BusinessEntityID_u FK_Store_BusinessEntity_BusinessEntityID_u FK_Store_SalesPerson_SalesPersonID_u 0 1 2 u u u
